Autauga,AL,15196,4758,127
Baldwin,AL,52971,15599,750
Barbour,AL,5899,4832,46
Bibb,AL,5472,2089,39
Blount,AL,17386,3938,180
Bullock,AL,1494,3210,13
Butler,AL,4979,3413,24
Calhoun,AL,29814,15083,352
Chambers,AL,7622,5347,63
Cherokee,AL,5923,3040,86
Chilton,AL,12829,3778,86
Choctaw,AL,3897,3303,27
Clarke,AL,6730,4627,37
Clay,AL,4624,1893,59
Cleburne,AL,4370,1391,37
Coffee,AL,13019,4480,117
Colbert,AL,13188,10598,149
Conecuh,AL,3271,2719,31
Coosa,AL,2905,2055,41
Covington,AL,11119,3423,85
Crenshaw,AL,3777,1698,25
Cullman,AL,26818,8045,328
Dale,AL,13621,4484,126
Dallas,AL,7335,11175,63
DeKalb,AL,16904,7092,173
Elmore,AL,22056,6471,153
Escambia,AL,8513,3814,68
Etowah,AL,26999,15328,353
Fayette,AL,5534,2408,60
Franklin,AL,7690,4514,65
Geneva,AL,8342,2113,65
Greene,AL,958,3764,26
Hale,AL,3281,4631,33
Henry,AL,4881,2452,28
Houston,AL,26874,9144,183
Jackson,AL,11534,8635,152
Jefferson,AL,158680,132286,2001
Lamar,AL,4894,1956,35
Lauderdale,AL,22161,14628,318
Lawrence,AL,7730,6155,116
Lee,AL,27972,16227,411
Limestone,AL,19702,9126,245
Lowndes,AL,1786,4233,2
Macon,AL,1570,7800,37
Madison,AL,77173,52644,1245
Marengo,AL,5255,5037,30
Marion,AL,8983,3808,84
Marshall,AL,22783,8452,256
Mobile,AL,92014,63732,1025
Mobile,AL,92014,63732,1025
Monroe,AL,5831,3666,37
Montgomery,AL,44097,45160,393
Morgan,AL,32477,14131,399
Perry,AL,1738,3767,18
Pickens,AL,5170,3915,47
Pike,AL,7483,4334,66
Randolph,AL,6127,2817,57
Russell,AL,8337,8375,97
Shelby,AL,63435,14850,621
St. Clair,AL,23500,5456,205
Sumter,AL,1880,4527,26
Talladega,AL,18331,11374,193
Tallapoosa,AL,12392,5451,109
Tuscaloosa,AL,42877,26447,506
Walker,AL,19167,9016,184
Washington,AL,5060,3145,42
Wilcox,AL,1834,3838,10
Winston,AL,8130,2236,57
