Arkansas,AR,3353,2877,65
Ashley,AR,3876,4253,61
Baxter,AR,9538,6516,429
Benton,AR,34838,17277,862
Boone,AR,8569,4493,289
Bradley,AR,1793,2122,34
Calhoun,AR,1128,1017,19
Carroll,AR,5556,3595,301
Chicot,AR,1564,2820,26
Clark,AR,3776,4661,103
Clay,AR,2254,3527,73
Cleburne,AR,5730,4120,183
Cleveland,AR,1678,1414,30
Columbia,AR,5018,4003,70
Conway,AR,3545,3496,84
Craighead,AR,12158,12376,409
Crawford,AR,10804,6288,223
Crittenden,AR,5857,7224,97
Cross,AR,3033,3096,38
Dallas,AR,1571,1710,21
Desha,AR,1603,2776,38
Drew,AR,2756,3060,47
Faulkner,AR,16055,11950,513
Franklin,AR,3277,2674,100
Fulton,AR,2036,1976,51
Garland,AR,19098,15840,566
Grant,AR,3285,2535,88
Greene,AR,5831,6319,205
Hempstead,AR,3257,3937,50
Hot Spring,AR,5042,5527,202
Howard,AR,2326,2063,50
Independence,AR,6145,5146,171
Izard,AR,2301,2587,76
Jackson,AR,2280,3651,77
Jefferson,AR,8765,17716,361
Johnson,AR,3657,3270,109
Lafayette,AR,1538,1806,27
Lawrence,AR,2626,3255,87
Lee,AR,1351,2727,18
Lincoln,AR,1526,1957,21
Little River,AR,2283,2883,50
Logan,AR,4487,3283,124
Lonoke,AR,10606,6851,237
Madison,AR,3387,2055,88
Marion,AR,3402,2233,220
Miller,AR,7276,6278,100
Mississippi,AR,5199,7107,110
Monroe,AR,1329,1910,29
Montgomery,AR,2128,1438,101
Nevada,AR,1796,1867,42
Newton,AR,2529,1205,112
Ouachita,AR,4739,5464,100
Perry,AR,2114,1648,61
Phillips,AR,3154,6018,75
Pike,AR,2275,1604,45
Poinsett,AR,2988,4102,87
Polk,AR,4600,2315,130
Pope,AR,11244,6669,259
Prairie,AR,1862,1563,29
Pulaski,AR,55866,68320,1756
Randolph,AR,2673,3019,84
Saline,AR,18617,12700,533
Scott,AR,2399,1444,48
Searcy,AR,2610,1229,83
Sebastian,AR,23483,15555,503
Sevier,AR,2111,2095,55
Sharp,AR,3698,3236,115
St. Francis,AR,3414,4986,42
Stone,AR,2623,2043,98
Union,AR,8647,6261,130
Van Buren,AR,3485,3202,153
Washington,AR,28231,21425,1208
White,AR,13170,8342,243
Woodruff,AR,898,1699,19
Yell,AR,3223,3062,78
