Alachua,FL,30153,29396,664
Baker,FL,3418,1355,8
Bay,FL,31796,11603,452
Bradford,FL,4221,2386,29
Brevard,FL,104854,43004,1301
Broward,FL,220316,218274,2015
Calhoun,FL,2422,1329,33
Charlotte,FL,28893,15974,292
Citrus,FL,21072,12184,218
Clay,FL,25942,7773,122
Collier,FL,38920,12769,291
Columbia,FL,7761,4073,82
Miami-Dade,FL,270937,216970,2358
Miami-Dade,FL,270937,216970,2358
Desoto,FL,4243,2181,40
Dixie,FL,2031,1366,0
Duval,FL,128081,74894,1004
Escambia,FL,64959,29977,524
Flagler,FL,6504,4244,34
Franklin,FL,1913,1283,73
Franklin,FL,1913,1283,73
Gadsden,FL,5992,6372,213
Gilchrist,FL,1855,1137,20
Glades,FL,1547,1034,12
Gulf,FL,3042,1688,142
Hamilton,FL,2062,1318,16
Hardee,FL,3640,1688,108
Hendry,FL,3965,2036,34
Hernando,FL,21195,15437,231
Highlands,FL,16723,8091,127
Hillsborough,FL,150151,99014,1551
Holmes,FL,4225,1639,36
Indian River,FL,24630,10451,252
Jackson,FL,8405,5008,100
Jefferson,FL,2326,2055,17
Lafayette,FL,1451,722,12
Lake,FL,37327,16766,479
Lee,FL,87303,40725,908
Lee,FL,87303,40725,908
Lee,FL,87303,40725,908
Leon,FL,36055,33472,631
Levy,FL,5253,3434,104
Liberty,FL,1421,709,47
Madison,FL,2563,1951,15
Manatee,FL,51187,26624,302
Marion,FL,41501,20685,334
Martin,FL,31279,11488,316
Monroe,FL,15928,10157,320
Monroe,FL,15928,10157,320
Monroe,FL,15928,10157,320
Monroe,FL,15928,10157,320
Nassau,FL,8374,4143,58
Okaloosa,FL,40389,9753,320
Okeechobee,FL,4736,3007,48
Orange,FL,117237,54023,1510
Osceola,FL,21355,9812,214
Palm Beach,FL,181495,144199,1523
Pasco,FL,63820,50385,598
Pinellas,FL,211049,152420,1901
Pinellas,FL,211049,152420,1901
Polk,FL,77104,38249,687
Putnam,FL,11624,8575,108
Santa Rosa,FL,18973,5254,143
Sarasota,FL,84602,42099,708
Seminole,FL,60401,22635,622
St. Johns,FL,19228,8029,158
St. Lucie,FL,32319,17446,314
Sumter,FL,5936,3900,60
Suwannee,FL,5863,3129,130
Taylor,FL,4057,1763,55
Union,FL,1644,691,14
Volusia,FL,74195,55469,1518
Wakulla,FL,3158,1605,42
Walton,FL,7490,3235,83
Washington,FL,4374,2144,46
