Appling,GA,2597,1562,0
Atkinson,GA,1157,811,0
Bacon,GA,2136,1179,0
Baker,GA,914,600,0
Baldwin,GA,3430,2740,0
Banks,GA,548,1258,0
Barrow,GA,2316,2277,0
Bartow,GA,2813,4635,0
Ben Hill,GA,2089,1523,0
Berrien,GA,4073,2658,0
Bibb,GA,25641,17831,0
Bleckley,GA,2578,978,0
Brantley,GA,1231,909,0
Brooks,GA,2342,1027,0
Brooks,GA,2342,1027,0
Bryan,GA,1433,857,0
Bulloch,GA,4823,2720,0
Burke,GA,3034,1208,0
Butts,GA,1261,1534,0
Calhoun,GA,1066,289,0
Camden,GA,1802,1693,0
Candler,GA,1710,795,0
Carroll,GA,4984,4794,0
Catoosa,GA,4143,2922,0
Charlton,GA,1179,574,0
Chatham,GA,33141,23176,0
Chattahoochee,GA,246,191,0
Chattooga,GA,1476,3986,0
Cherokee,GA,3398,3189,0
Clarke,GA,4875,7519,0
Clay,GA,544,360,0
Clayton,GA,10488,5869,0
Clinch,GA,1084,706,0
Cobb,GA,20863,16647,0
Coffee,GA,4392,2719,0
Colquitt,GA,6493,2563,0
Columbia,GA,2575,1428,0
Cook,GA,2058,1337,0
Coweta,GA,3656,3712,0
Crawford,GA,957,723,0
Crisp,GA,3337,1756,0
Dade,GA,1378,1227,0
Dawson,GA,639,932,0
DeKalb,GA,49448,37154,0
Decatur,GA,5060,2011,0
Dodge,GA,3285,2376,0
Dooly,GA,1662,1471,0
Dougherty,GA,12776,5248,0
Douglas,GA,3315,2501,0
Early,GA,2398,771,0
Echols,GA,399,184,0
Effingham,GA,2676,680,0
Elbert,GA,1887,3172,0
Emanuel,GA,3311,2279,0
Evans,GA,1572,799,0
Fannin,GA,3433,2834,0
Fayette,GA,1349,896,0
Floyd,GA,9849,8750,0
Forsyth,GA,1471,1682,0
Franklin,GA,864,2758,0
Fulton,GA,73205,93540,0
Gilmer,GA,2167,2159,0
Glascock,GA,836,134,0
Glynn,GA,7341,5712,0
Gordon,GA,2317,3260,0
Grady,GA,2983,1887,0
Greene,GA,1093,2698,0
Gwinnett,GA,6823,6705,0
Habersham,GA,1595,3412,0
Hall,GA,4296,8003,0
Hancock,GA,925,1074,0
Haralson,GA,3129,2186,0
Harris,GA,2166,940,0
Hart,GA,1166,3142,0
Heard,GA,807,1061,0
Henry,GA,3125,3583,0
Houston,GA,6532,4258,0
Irwin,GA,2017,740,0
Jackson,GA,1664,3953,0
Jasper,GA,1075,848,0
Jeff Davis,GA,1875,745,0
Jefferson,GA,2950,1253,0
Jenkins,GA,1509,908,0
Johnson,GA,1940,682,0
Jones,GA,1805,1380,0
Lamar,GA,1570,1548,0
Lanier,GA,719,661,0
Laurens,GA,5457,3828,0
Lee,GA,1041,244,0
Liberty,GA,1458,2212,0
Lincoln,GA,943,353,0
Long,GA,246,1336,0
Lowndes,GA,6811,4363,0
Lumpkin,GA,855,1189,0
Macon,GA,1723,1076,0
Macon,GA,1723,1076,0
Madison,GA,1190,2341,0
Marion,GA,719,365,0
McDuffie,GA,2657,1124,0
McIntosh,GA,795,1193,0
Meriwether,GA,2250,2423,0
Miller,GA,1658,274,0
Mitchell,GA,3265,1197,0
Monroe,GA,1665,1578,0
Montgomery,GA,1409,878,0
Morgan,GA,1485,1654,0
Murray,GA,1064,2426,0
Muscogee,GA,21025,12446,0
Newton,GA,2678,3620,0
Oconee,GA,1241,1073,0
Oglethorpe,GA,1126,864,0
Paulding,GA,1914,2513,0
Peach,GA,1970,1585,0
Pickens,GA,1955,1930,0
Pierce,GA,1981,982,0
Pike,GA,1064,946,0
Polk,GA,3282,4555,0
Pulaski,GA,1768,953,0
Putnam,GA,1196,1018,0
Quitman,GA,377,230,0
Rabun,GA,551,1796,0
Randolph,GA,1656,962,0
Richmond,GA,21481,13545,0
Rockdale,GA,1503,1972,0
Schley,GA,577,377,0
Screven,GA,2260,1446,0
Seminole,GA,1294,427,0
Spalding,GA,4763,5466,0
Stephens,GA,1371,3483,0
Stewart,GA,1037,373,0
Sumter,GA,3774,1727,0
Talbot,GA,679,627,0
Taliaferro,GA,337,628,0
Tattnall,GA,3264,1648,0
Taylor,GA,1372,1097,0
Taylor,GA,1372,1097,0
Telfair,GA,1914,1872,0
Terrell,GA,1921,569,0
Thomas,GA,6306,3257,0
Tift,GA,4650,2286,0
Toombs,GA,3543,1685,0
Towns,GA,1140,1289,0
Treutlen,GA,722,1331,0
Troup,GA,5277,6032,0
Turner,GA,1672,719,0
Twiggs,GA,1178,786,0
Union,GA,1473,2135,0
Upson,GA,3103,3275,0
Walker,GA,5939,5454,0
Walton,GA,2874,2350,0
Ware,GA,4948,5189,0
Warren,GA,1070,384,0
Washington,GA,2296,1830,0
Wayne,GA,3619,2182,0
Webster,GA,457,144,0
Wheeler,GA,849,980,0
White,GA,840,1520,0
Whitfield,GA,4546,7330,0
Wilcox,GA,1794,900,0
Wilkes,GA,1652,1437,0
Wilkinson,GA,2172,963,0
Worth,GA,3157,862,0
