Adair,IA,2114,1790,92
Adams,IA,1108,1028,49
Allamakee,IA,3264,3553,117
Appanoose,IA,3161,2951,133
Audubon,IA,1802,1611,44
Benton,IA,6940,6862,221
Black Hawk,IA,26235,39821,1085
Boone,IA,6556,7512,320
Bremer,IA,6405,6763,178
Buchanan,IA,4450,5911,174
Buena Vista,IA,4554,3700,129
Butler,IA,4106,3329,110
Calhoun,IA,2891,2238,101
Carroll,IA,5601,4947,126
Cass,IA,4217,2858,130
Cedar,IA,4529,4972,148
Cerro Gordo,IA,10128,13316,380
Cherokee,IA,3662,2634,119
Chickasaw,IA,2836,3554,94
Clarke,IA,2124,2189,117
Clay,IA,4951,3385,166
Clayton,IA,4164,4806,168
Clinton,IA,9432,15141,427
Crawford,IA,3595,3066,91
Dallas,IA,20988,16576,552
Davis,IA,2138,1520,115
Decatur,IA,1947,1791,95
Delaware,IA,4636,4616,126
Des Moines,IA,8136,11888,361
Dickinson,IA,5912,4095,152
Dubuque,IA,21280,28768,846
Emmet,IA,2507,2099,81
Fayette,IA,4492,5732,142
Floyd,IA,3472,4680,105
Franklin,IA,2823,2266,97
Fremont,IA,1972,1637,59
Greene,IA,2380,2375,91
Grundy,IA,4215,2635,112
Guthrie,IA,3171,2569,148
Hamilton,IA,3991,3782,154
Hancock,IA,3317,2521,87
Hardin,IA,4670,4075,153
Harrison,IA,4065,3136,121
Henry,IA,5035,4460,202
Howard,IA,1795,2768,82
Humboldt,IA,3099,1972,87
Ida,IA,2286,1321,56
Iowa,IA,4569,4144,153
Jackson,IA,4177,5907,158
Jasper,IA,8877,10257,381
Jefferson,IA,3436,4798,296
Johnson,IA,23698,50666,1613
Jones,IA,4721,5534,194
Keokuk,IA,2843,2303,120
Kossuth,IA,4937,3850,136
Lee,IA,7785,10714,412
Linn,IA,47622,68581,2250
Louisa,IA,2420,2452,96
Lucas,IA,2254,1987,82
Lyon,IA,4978,1423,108
Madison,IA,4638,3630,190
Mahaska,IA,6448,4213,222
Marion,IA,9828,7507,352
Marshall,IA,8472,10257,335
Mills,IA,4216,2848,148
Mitchell,IA,2643,2831,112
Monona,IA,2557,2101,84
Monroe,IA,2026,1731,73
Montgomery,IA,3001,1922,102
Muscatine,IA,8168,11323,374
O'Brien,IA,5266,1969,106
Osceola,IA,2230,912,52
Page,IA,4348,2613,118
Palo Alto,IA,2660,2139,88
Plymouth,IA,8597,4164,189
Pocahontas,IA,2396,1523,113
Polk,IA,96096,128465,4321
Pottawattamie,IA,21860,19644,797
Poweshiek,IA,4424,5357,194
Ringgold,IA,1368,1186,45
Sac,IA,3094,2122,75
Scott,IA,38251,50652,1360
Shelby,IA,3911,2469,103
Sioux,IA,14407,2700,201
Story,IA,19668,26192,1290
Tama,IA,4098,4768,151
Taylor,IA,1683,1262,50
Union,IA,2813,3043,101
Van Buren,IA,2064,1402,103
Wapello,IA,6789,8663,318
Warren,IA,13052,12551,469
Washington,IA,5562,5115,327
Wayne,IA,1583,1251,66
Webster,IA,8469,9537,286
Winnebago,IA,2906,2903,109
Winneshiek,IA,4622,6256,206
Woodbury,IA,21841,22302,876
Worth,IA,1744,2350,78
Wright,IA,3349,2836,93
