Ada,ID,61811,43040,11171
Adams,ID,1053,537,311
Bannock,ID,14058,12806,4158
Bear Lake,ID,1583,805,396
Benewah,ID,1667,1488,701
Bingham,ID,8391,4304,2021
Blaine,ID,3003,3840,1193
Boise,ID,1576,879,440
Bonner,ID,6207,5294,2669
Bonneville,ID,19977,9013,3921
Boundary,ID,1937,1194,626
Butte,ID,741,507,233
Camas,ID,283,156,95
Canyon,ID,23988,11800,3956
Caribou,ID,1740,841,501
Cassia,ID,4663,1596,976
Clark,ID,266,117,45
Clearwater,ID,1658,1507,650
Custer,ID,1249,635,400
Elmore,ID,3668,2324,845
Franklin,ID,2435,807,589
Fremont,ID,3042,1114,630
Gem,ID,3362,1968,833
Gooding,ID,2637,1503,980
Idaho,ID,3871,1979,1083
Jefferson,ID,4925,1427,994
Jerome,ID,3358,1679,1014
Kootenai,ID,18740,13627,6083
Latah,ID,6311,7741,1828
Lemhi,ID,2334,1015,461
Lewis,ID,861,674,316
Lincoln,ID,744,478,319
Madison,ID,5706,1216,744
Minidoka,ID,4008,1977,977
Nez Perce,ID,6675,7491,2385
Oneida,ID,993,429,285
Owyhee,ID,2033,895,354
Payette,ID,3901,2119,906
Power,ID,1501,1070,344
Shoshone,ID,1588,2981,1283
Teton,ID,1251,866,326
Twin Falls,ID,12393,6826,3383
Valley,ID,2089,1564,568
Washington,ID,2318,1314,525
