Adams,IN,9734,3512,94
Allen,IN,82013,46710,886
Bartholomew,IN,19093,9191,231
Benton,IN,2797,1135,60
Blackford,IN,3447,1903,30
Boone,IN,17055,5636,207
Brown,IN,4512,2730,88
Carroll,IN,5868,2689,81
Cass,IN,9480,4315,136
Clark,IN,24495,17648,194
Clay,IN,7361,3333,89
Clinton,IN,8471,3335,71
Crawford,IN,2609,1932,33
Daviess,IN,7936,2573,90
DeKalb,IN,10468,4810,125
Dearborn,IN,14231,6596,142
Decatur,IN,7499,2621,79
Delaware,IN,27064,20436,439
Dubois,IN,11726,5210,130
Elkhart,IN,42967,17966,447
Fayette,IN,5761,3626,81
Floyd,IN,19877,13857,156
Fountain,IN,5260,2477,67
Franklin,IN,6977,2925,90
Fulton,IN,6027,2607,69
Gibson,IN,9133,5378,103
Grant,IN,18769,8509,182
Greene,IN,8609,4606,137
Hamilton,IN,77887,26388,631
Hancock,IN,20771,6912,184
Harrison,IN,11015,6171,124
Hendricks,IN,38430,13548,324
Henry,IN,13137,7176,191
Howard,IN,23714,12998,309
Huntington,IN,11617,3877,133
Jackson,IN,11083,5092,134
Jasper,IN,8056,3678,110
Jay,IN,5427,2740,65
Jefferson,IN,7763,5117,91
Jennings,IN,6864,3538,115
Johnson,IN,37765,13109,381
Knox,IN,9990,5649,107
Kosciusko,IN,22136,5977,247
LaPorte,IN,20916,21114,576
LaGrange,IN,6430,2523,50
Lake,IN,71903,114743,1376
Lawrence,IN,12207,5346,145
Madison,IN,32526,21882,447
Marion,IN,156072,162249,2517
Marshall,IN,12074,5593,147
Martin,IN,3414,1522,60
Miami,IN,9600,3886,142
Monroe,IN,22834,26965,668
Montgomery,IN,10901,3536,111
Morgan,IN,19197,6650,182
Newton,IN,3757,2032,59
Noble,IN,10859,4703,117
Ohio,IN,1796,1139,23
Orange,IN,5683,2885,84
Owen,IN,5000,2536,68
Parke,IN,4550,2362,59
Perry,IN,4137,4131,47
Pike,IN,3745,2418,49
Porter,IN,34794,29388,691
Posey,IN,7833,4085,68
Pulaski,IN,3797,1750,67
Putnam,IN,8908,4103,125
Randolph,IN,7172,3812,108
Ripley,IN,8224,3510,100
Rush,IN,5363,2000,58
Scott,IN,4793,3822,62
Shelby,IN,11397,4519,111
Spencer,IN,5934,3920,70
St. Joseph,IN,55254,52637,728
Starke,IN,4846,3987,104
Steuben,IN,8433,4345,127
Sullivan,IN,4999,3341,54
Switzerland,IN,2161,1479,31
Tippecanoe,IN,30897,20818,645
Tipton,IN,5628,2203,61
Union,IN,2266,1045,33
Vanderburgh,IN,41463,28767,424
Vermillion,IN,3536,3424,57
Vigo,IN,20988,18426,330
Wabash,IN,9607,3920,75
Warren,IN,2565,1356,39
Warrick,IN,16930,8980,115
Washington,IN,6915,3879,86
Wayne,IN,16586,10775,296
Wells,IN,9168,3112,74
White,IN,6974,3277,115
Whitley,IN,9512,3880,89
