Allen,KS,4267,1778,72
Anderson,KS,2462,1155,50
Atchison,KS,4537,2641,77
Barber,KS,2112,806,22
Barton,KS,10232,3111,195
Bourbon,KS,4858,2175,69
Brown,KS,3894,1303,67
Butler,KS,12976,6371,217
Chase,KS,1162,393,15
Chautauqua,KS,1688,497,20
Cherokee,KS,5801,3663,89
Cheyenne,KS,1442,356,26
Clark,KS,1075,324,27
Clay,KS,3559,919,41
Cloud,KS,3860,1880,71
Coffey,KS,3063,1037,39
Comanche,KS,993,285,15
Cowley,KS,10008,5193,198
Crawford,KS,9518,6722,141
Decatur,KS,1770,467,28
Dickinson,KS,6487,2168,116
Doniphan,KS,2818,962,40
Douglas,KS,18975,12880,378
Edwards,KS,1352,606,44
Elk,KS,1301,452,32
Ellis,KS,7509,3457,133
Ellsworth,KS,2353,905,40
Finney,KS,6938,2458,98
Ford,KS,6935,2914,98
Franklin,KS,6284,2523,92
Geary,KS,4464,2296,61
Gove,KS,1310,426,48
Graham,KS,1423,480,20
Grant,KS,2043,615,21
Gray,KS,1580,514,32
Greeley,KS,699,227,28
Greenwood,KS,2901,1173,44
Hamilton,KS,1037,408,23
Harper,KS,2521,893,35
Harvey,KS,8507,4599,174
Haskell,KS,1152,283,17
Hodgeman,KS,939,306,21
Jackson,KS,3466,1667,46
Jefferson,KS,4524,1990,49
Jewell,KS,1992,583,29
Johnson,KS,101987,38019,876
Kearny,KS,1214,321,13
Kingman,KS,2826,1047,50
Kiowa,KS,1537,361,35
Labette,KS,6542,3631,87
Lane,KS,1008,282,16
Leavenworth,KS,11194,6604,172
Lincoln,KS,1723,551,19
Linn,KS,2795,1152,27
Logan,KS,1235,331,37
Lyon,KS,9796,4188,137
Marion,KS,4407,1632,77
Marshall,KS,4098,1813,72
McPherson,KS,8630,3185,189
Meade,KS,1804,491,43
Miami,KS,5877,3076,83
Mitchell,KS,3036,919,41
Montgomery,KS,12023,4933,171
Morris,KS,2240,820,43
Morton,KS,1533,322,19
Nemaha,KS,3653,1761,71
Neosho,KS,4968,2679,102
Ness,KS,1779,540,43
Norton,KS,2515,611,50
Osage,KS,4288,2072,83
Osborne,KS,2171,686,52
Ottawa,KS,2345,699,52
Pawnee,KS,2570,1092,68
Phillips,KS,2813,626,38
Pottawatomie,KS,4598,1798,72
Pratt,KS,3244,1255,50
Rawlins,KS,1625,412,45
Reno,KS,16568,9229,362
Republic,KS,3009,887,38
Rice,KS,3598,1559,82
Riley,KS,11308,5975,175
Rooks,KS,2604,699,46
Rush,KS,1758,718,54
Russell,KS,3673,1055,43
Saline,KS,15244,6526,191
Scott,KS,2017,427,42
Sedgwick,KS,95874,55263,2178
Seward,KS,5222,1198,64
Shawnee,KS,43465,26338,786
Sheridan,KS,1274,419,32
Sherman,KS,2702,714,47
Smith,KS,2332,684,63
Stafford,KS,2062,844,52
Stanton,KS,783,205,34
Stevens,KS,1863,386,22
Sumner,KS,6942,3708,143
Thomas,KS,3107,887,57
Trego,KS,1491,598,29
Wabaunsee,KS,2276,805,49
Wallace,KS,838,152,20
Washington,KS,2979,889,68
Wichita,KS,916,232,13
Wilson,KS,3663,1344,64
Woodson,KS,1408,596,26
Wyandotte,KS,27459,36042,635
