Adair,KY,5841,1660,99
Allen,KY,5184,1808,108
Anderson,KY,6822,3315,183
Ballard,KY,2647,1189,59
Ballard,KY,2647,1189,59
Barren,KY,10922,5400,246
Bath,KY,2275,1770,77
Bell,KY,7127,2224,131
Boone,KY,35922,15629,960
Bourbon,KY,4692,3075,156
Boyd,KY,10884,7776,389
Boyle,KY,7703,4471,199
Bracken,KY,2029,1147,56
Breathitt,KY,3318,1562,128
Breckinridge,KY,5025,2825,119
Bullitt,KY,21306,9971,502
Butler,KY,3716,1293,51
Caldwell,KY,3904,1852,104
Calloway,KY,9440,5317,315
Campbell,KY,24240,15080,857
Carlisle,KY,1835,750,34
Carroll,KY,1999,1629,52
Carter,KY,5279,3383,246
Casey,KY,4904,1086,101
Christian,KY,13475,8252,228
Clark,KY,9931,5228,257
Clay,KY,6176,1111,96
Clinton,KY,3569,752,72
Crittenden,KY,2839,960,55
Cumberland,KY,2216,599,39
Daviess,KY,25092,16208,787
Edmonson,KY,3232,1374,62
Elliott,KY,1126,1186,87
Estill,KY,3749,1356,79
Fayette,KY,60795,62080,2991
Fleming,KY,3780,1911,91
Floyd,KY,9784,4733,373
Franklin,KY,11345,11535,457
Fulton,KY,1425,1022,34
Fulton,KY,1425,1022,34
Gallatin,KY,1758,1238,65
Garrard,KY,5310,1661,106
Grant,KY,5664,2810,134
Graves,KY,10699,4547,257
Grayson,KY,6404,2744,123
Green,KY,3634,1165,57
Greenup,KY,8855,6027,286
Hancock,KY,2212,1833,89
Hardin,KY,23357,15214,647
Harlan,KY,8652,1830,175
Harrison,KY,4556,2471,136
Hart,KY,4257,2283,82
Henderson,KY,10296,8091,235
Henry,KY,3940,2530,120
Hickman,KY,1431,686,22
Hopkins,KY,13681,5789,297
Jackson,KY,4365,612,84
Jefferson,KY,148423,186181,4975
Jessamine,KY,14233,6001,399
Johnson,KY,7095,1723,217
Kenton,KY,41389,24920,1395
Knott,KY,4130,1420,143
Knox,KY,8467,2484,149
Larue,KY,3911,1733,120
Laurel,KY,18151,3905,352
Lawrence,KY,3995,1520,77
Lee,KY,1977,595,51
Leslie,KY,4439,433,78
Letcher,KY,6811,1702,245
Lewis,KY,3326,1342,101
Lincoln,KY,6416,2582,154
Livingston,KY,3089,1346,76
Logan,KY,6899,3469,142
Lyon,KY,2412,1373,54
Madison,KY,21128,11512,682
Magoffin,KY,3391,1433,82
Marion,KY,3800,3418,100
Marshall,KY,10402,5022,295
Martin,KY,3180,574,70
Mason,KY,4197,2592,92
McCracken,KY,19979,10062,510
McCreary,KY,4564,1069,74
McLean,KY,2705,1432,63
Meade,KY,6606,4122,188
Menifee,KY,1484,1048,66
Mercer,KY,6820,2966,153
Metcalfe,KY,2676,1425,83
Monroe,KY,3762,936,48
Montgomery,KY,6398,3701,149
Morgan,KY,3021,1369,82
Muhlenberg,KY,7762,4771,206
Nelson,KY,10673,7611,249
Nicholas,KY,1583,948,50
Ohio,KY,6470,2987,189
Oldham,KY,20179,9240,465
Owen,KY,2971,1501,85
Owsley,KY,1279,283,18
Pendleton,KY,3556,1859,119
Perry,KY,8040,2047,154
Pike,KY,17590,5646,400
Powell,KY,2766,1620,95
Pulaski,KY,20714,4976,313
Robertson,KY,579,340,16
Rockcastle,KY,5028,1097,91
Rowan,KY,4035,3438,192
Russell,KY,6346,1445,118
Scott,KY,12679,7532,362
Shelby,KY,11790,6634,239
Simpson,KY,4355,2650,88
Spencer,KY,5726,2549,156
Taylor,KY,7551,3285,114
Todd,KY,3247,1403,68
Trigg,KY,4520,2115,107
Trimble,KY,2133,1355,55
Union,KY,3955,1942,82
Warren,KY,26384,16805,714
Washington,KY,3495,1669,55
Wayne,KY,5289,1855,66
Webster,KY,3607,1765,98
Whitley,KY,10232,2683,157
Wolfe,KY,1542,976,41
Woodford,KY,7219,4883,230
