Acadia,LA,3178,4098,9715
Allen,LA,1004,2026,4229
Ascension,LA,1338,3203,6004
Assumption,LA,1222,2085,2898
Avoyelles,LA,2459,2973,6760
Beauregard,LA,1615,1569,4048
Bienville,LA,941,1768,3466
Bossier,LA,3745,2782,9249
Caddo,LA,21224,17675,28463
Calcasieu,LA,9520,14593,20250
Caldwell,LA,490,973,2252
Cameron,LA,405,533,1655
Catahoula,LA,755,769,2677
Claiborne,LA,1117,1545,3311
Concordia,LA,974,1983,4542
De Soto,LA,974,3400,4190
East Baton Rouge,LA,21661,21770,35250
East Carroll,LA,586,1926,1706
East Feliciana,LA,457,1409,2225
Evangeline,LA,1549,2647,7362
Franklin,LA,1052,681,5394
Grant,LA,1113,932,3470
Iberia,LA,5448,5510,8071
Iberia,LA,5448,5510,8071
Iberville,LA,1413,4084,4290
Jackson,LA,1104,1525,3941
Jefferson Davis,LA,2213,2641,4897
Jefferson,LA,29478,20193,41902
Jefferson,LA,29478,20193,41902
La Salle,LA,1258,710,3878
Lafayette,LA,10669,7983,11723
Lafourche,LA,4797,5516,10910
Lincoln,LA,2643,2009,4225
Livingston,LA,947,1400,9907
Madison,LA,649,2659,2380
Madison,LA,649,2659,2380
Morehouse,LA,1772,1793,5377
Natchitoches,LA,2352,3945,5505
Orleans,LA,47728,72451,58489
Ouachita,LA,10089,6470,15145
Plaquemines,LA,968,1144,6430
Pointe Coupee,LA,850,3139,3508
Rapides,LA,10199,8793,16239
Red River,LA,380,914,2477
Richland,LA,1031,1017,4415
Sabine,LA,1125,1159,4526
St. Bernard,LA,3486,2485,13056
St. Bernard,LA,3486,2485,13056
St. Charles,LA,1675,3070,4383
St. Helena,LA,219,1351,1800
St. James,LA,778,2987,2765
St. John the Baptist,LA,940,3245,3246
St. Landry,LA,3508,9075,12659
St. Martin,LA,1625,3321,4759
St. Martin,LA,1625,3321,4759
St. Mary,LA,4586,5312,6761
St. Tammany,LA,4846,4445,11470
Tangipahoa,LA,2907,4983,13088
Tensas,LA,503,845,1290
Terrebonne,LA,5214,4627,8836
Union,LA,1113,1336,4297
Vermilion,LA,3278,3806,8124
Vernon,LA,1574,1496,5536
Washington,LA,1695,3021,11002
Webster,LA,2496,2871,8646
West Baton Rouge,LA,669,2016,2569
West Carroll,LA,585,395,3574
West Feliciana,LA,296,1303,1073
West Feliciana,LA,296,1303,1073
Winn,LA,1050,1230,4015
