Barnstable,MA,33916,46641,27727
Berkshire,MA,14726,36857,15799
Bristol,MA,52370,102406,55845
Dukes,MA,1827,4292,1714
Dukes,MA,1827,4292,1714
Essex,MA,102212,140593,77459
Franklin,MA,8691,17246,9642
Hampden,MA,54621,86026,46678
Hampshire,MA,15694,37879,15983
Middlesex,MA,193703,343994,146831
Nantucket,MA,1158,2037,989
Norfolk,MA,103255,150488,68794
Norfolk,MA,103255,150488,68794
Norfolk,MA,103255,150488,68794
Plymouth,MA,69514,79160,57886
Suffolk,MA,51378,132921,32914
Suffolk,MA,51378,132921,32914
Worcester,MA,101984,138122,74051
