Allegany,MD,20687,10808,553
Anne Arundel,MD,71707,26082,1450
Baltimore,MD,295383,211632,7861
Baltimore,MD,295383,211632,7861
Calvert,MD,4024,2232,88
Caroline,MD,4325,1567,56
Carroll,MD,16847,4408,553
Cecil,MD,10759,4113,319
Charles,MD,9665,4502,186
Dorchester,MD,6859,2136,154
Frederick,MD,19907,8235,509
Garrett,MD,5480,1510,164
Harford,MD,25141,8737,488
Howard,MD,19265,10668,383
Kent,MD,4036,2168,67
Montgomery,MD,133090,100228,2239
Prince George's,MD,116166,79914,2330
Queen Anne's,MD,4380,1712,125
Somerset,MD,4342,2036,71
St. Mary's,MD,7689,3571,122
Talbot,MD,6620,2181,58
Washington,MD,24234,10039,712
Wicomico,MD,13115,5510,190
Worcester,MD,5584,1792,48
