Alcona,MI,1852,958,338
Alger,MI,1406,1927,173
Allegan,MI,14769,7276,2389
Alpena,MI,5717,4788,747
Antrim,MI,3002,1690,374
Arenac,MI,2089,1573,324
Baraga,MI,1508,1680,116
Barry,MI,8492,5206,1674
Bay,MI,18779,21410,2291
Benzie,MI,2138,1147,219
Berrien,MI,32136,21266,9333
Branch,MI,7071,4518,1037
Calhoun,MI,26181,22633,5944
Cass,MI,6996,5616,2257
Charlevoix,MI,3696,2446,556
Charlevoix,MI,3696,2446,556
Cheboygan,MI,3422,2840,634
Chippewa,MI,5359,4132,793
Clare,MI,3315,1909,602
Clinton,MI,9416,5548,1591
Crawford,MI,1266,845,187
Delta,MI,5829,7821,700
Dickinson,MI,4920,5726,533
Eaton,MI,14184,8347,2252
Emmet,MI,4405,2624,446
Genesee,MI,63948,75174,24539
Gladwin,MI,2840,1668,511
Gogebic,MI,4140,5839,434
Grand Traverse,MI,8960,4741,843
Gratiot,MI,8404,4040,949
Hillsdale,MI,8506,3803,1107
Houghton,MI,6639,6988,473
Huron,MI,8743,3607,1178
Ingham,MI,46805,37362,6432
Ionia,MI,8625,6055,1261
Iosco,MI,4068,2533,736
Iron,MI,3292,4130,340
Isabella,MI,7111,4450,808
Jackson,MI,27828,18205,5689
Kalamazoo,MI,39796,26437,7398
Kalkaska,MI,1190,753,288
Kent,MI,85810,61891,11584
Keweenaw,MI,525,602,65
Keweenaw,MI,525,602,65
Lake,MI,1094,1482,220
Lapeer,MI,8866,5199,2081
Leelanau,MI,2798,1562,292
Leelanau,MI,2798,1562,292
Leelanau,MI,2798,1562,292
Lenawee,MI,16280,10552,2197
Livingston,MI,10034,7052,2543
Luce,MI,1351,855,109
Mackinac,MI,2507,1751,317
Macomb,MI,63139,114552,29239
Manistee,MI,4007,3671,614
Marquette,MI,8960,11199,802
Mason,MI,5311,3660,854
Mecosta,MI,5053,2738,625
Menominee,MI,4599,4877,620
Midland,MI,14329,7428,1849
Missaukee,MI,2161,736,292
Monroe,MI,15685,18921,4873
Montcalm,MI,8329,5303,1244
Montmorency,MI,1279,810,260
Muskegon,MI,28233,24492,5808
Newaygo,MI,6626,3369,1042
Oakland,MI,156538,154630,33024
Oceana,MI,3911,2152,876
Ogemaw,MI,2526,1647,454
Ontonagon,MI,2290,2462,252
Osceola,MI,3705,1509,583
Oscoda,MI,1124,563,157
Otsego,MI,1871,1661,259
Ottawa,MI,33356,12431,3460
Presque Isle,MI,2565,2300,385
Roscommon,MI,2635,1639,431
Saginaw,MI,38070,32266,6906
Sanilac,MI,9273,3193,1692
Schoolcraft,MI,1745,1869,227
Shiawassee,MI,11465,8619,2377
St. Clair,MI,21084,16251,5261
St. Joseph,MI,10445,5413,1759
Tuscola,MI,10205,4698,1682
Van Buren,MI,10676,7304,2560
Washtenaw,MI,36432,33073,7456
Wayne,MI,270566,654157,105606
Wexford,MI,4364,2832,535
