Aitkin,MN,2327,3810,1155
Anoka,MN,41745,63756,16448
Becker,MN,5461,5911,1813
Beltrami,MN,5806,8006,1635
Benton,MN,4835,6006,2133
Big Stone,MN,990,1619,368
Blue Earth,MN,9082,12420,3324
Brown,MN,5580,4864,1786
Carlton,MN,4034,8052,1591
Carver,MN,12380,11554,3781
Cass,MN,4791,5437,1620
Chippewa,MN,2119,3178,782
Chisago,MN,5984,8611,2812
Clay,MN,8764,10476,1733
Clearwater,MN,1423,1578,471
Cook,MN,1010,1169,246
Cottonwood,MN,2633,2737,741
Crow Wing,MN,10095,11156,3423
Dakota,MN,57244,77297,17095
Dodge,MN,2888,3233,1223
Douglas,MN,6747,6450,2093
Faribault,MN,3272,3817,1103
Fillmore,MN,3466,4732,1575
Freeborn,MN,5166,8458,2226
Goodhue,MN,7293,9931,2806
Grant,MN,1284,1806,434
Hennepin,MN,173887,285126,47663
Houston,MN,3674,4153,1439
Hubbard,MN,3593,3802,1141
Isanti,MN,4450,6041,2242
Itasca,MN,6506,10706,2889
Jackson,MN,2153,2727,908
Kanabec,MN,1924,2927,996
Kandiyohi,MN,7119,9009,2229
Kittson,MN,1055,1394,270
Koochiching,MN,2080,3472,1098
Lac Qui Parle,MN,1447,2420,561
Lake,MN,1684,3388,752
Lake of the Woods,MN,814,888,287
Le Sueur,MN,3902,5457,1699
Lincoln,MN,1199,1641,504
Lyon,MN,4932,5062,1351
Mahnomen,MN,877,1026,270
Marshall,MN,2068,2333,710
Martin,MN,4303,4718,1405
McLeod,MN,5474,6027,2402
Meeker,MN,3428,4531,1571
Mille Lacs,MN,2948,4336,1467
Morrison,MN,5054,5728,2310
Mower,MN,4994,10413,2464
Murray,MN,1907,2173,753
Nicollet,MN,5057,6772,1737
Nobles,MN,3769,4106,1132
Norman,MN,1392,1875,425
Olmsted,MN,22860,22857,5640
Otter Tail,MN,11808,10519,3191
Pennington,MN,2129,2814,910
Pine,MN,3080,5432,1597
Pipestone,MN,2096,1999,599
Polk,MN,5563,6369,1502
Pope,MN,1992,2803,665
Ramsey,MN,66954,133878,20351
Red Lake,MN,695,1053,334
Redwood,MN,3700,2997,1053
Renville,MN,2887,3956,1311
Rice,MN,7016,12821,2872
Rock,MN,2169,2142,554
Roseau,MN,2988,2759,1081
Scott,MN,12734,14657,4886
Sherburne,MN,8699,10551,3665
Sibley,MN,2590,2769,1226
St. Louis,MN,25553,60736,11308
Stearns,MN,21474,24238,8150
Steele,MN,5617,6974,2197
Stevens,MN,2141,2741,467
Swift,MN,1541,3054,690
Todd,MN,4078,4520,1958
Traverse,MN,775,1135,295
Wabasha,MN,3452,4523,1474
Wadena,MN,2696,2480,801
Waseca,MN,3171,3819,1385
Washington,MN,31219,45119,10106
Watonwan,MN,1997,2534,711
Wilkin,MN,1508,1319,358
Winona,MN,7955,10272,2907
Wright,MN,13224,15542,5550
Yellow Medicine,MN,2006,2741,818
