Adams,MS,5900,1093,0
Alcorn,MS,3377,1917,0
Amite,MS,2742,103,0
Attala,MS,4409,263,0
Benton,MS,934,236,0
Bolivar,MS,4680,731,0
Calhoun,MS,3224,294,0
Carroll,MS,2043,98,0
Chickasaw,MS,3138,279,0
Choctaw,MS,2096,150,0
Claiborne,MS,1226,84,0
Clarke,MS,3591,253,0
Clay,MS,2848,226,0
Coahoma,MS,4172,964,0
Copiah,MS,4506,239,0
Covington,MS,3033,392,0
DeSoto,MS,2928,461,0
Forrest,MS,9291,1128,0
Franklin,MS,2211,91,0
George,MS,2797,242,0
Greene,MS,1845,216,0
Grenada,MS,3648,155,0
Hancock,MS,2550,1501,0
Harrison,MS,16301,5393,0
Harrison,MS,16301,5393,0
Harrison,MS,16301,5393,0
Hinds,MS,36831,5058,0
Holmes,MS,3115,110,0
Humphreys,MS,1863,84,0
Issaquena,MS,456,34,0
Itawamba,MS,2140,1127,0
Jackson,MS,11357,2371,0
Jackson,MS,11357,2371,0
Jackson,MS,11357,2371,0
Jasper,MS,2994,236,0
Jefferson,MS,1258,69,0
Jefferson Davis,MS,2351,235,0
Jones,MS,12123,1981,0
Kemper,MS,2185,191,0
Lafayette,MS,3202,720,0
Lamar,MS,3372,334,0
Lauderdale,MS,13291,1583,0
Lawrence,MS,2373,236,0
Leake,MS,4343,170,0
Lee,MS,5165,2409,0
Leflore,MS,5589,380,0
Lincoln,MS,6750,437,0
Lowndes,MS,6135,533,0
Madison,MS,3283,251,0
Marion,MS,5469,505,0
Marshall,MS,2251,343,0
Monroe,MS,5627,985,0
Montgomery,MS,3181,149,0
Neshoba,MS,5431,293,0
Newton,MS,4735,238,0
Noxubee,MS,1980,70,0
Oktibbeha,MS,3795,390,0
Panola,MS,4002,413,0
Pearl River,MS,4009,735,0
Perry,MS,1775,279,0
Pike,MS,6418,543,0
Pontotoc,MS,2699,702,0
Prentiss,MS,2289,1013,0
Quitman,MS,2065,336,0
Rankin,MS,7541,332,0
Scott,MS,4729,238,0
Sharkey,MS,1116,128,0
Simpson,MS,4949,271,0
Smith,MS,4045,238,0
Stone,MS,1776,179,0
Sunflower,MS,4127,251,0
Tallahatchie,MS,3126,255,0
Tate,MS,2390,283,0
Tippah,MS,2482,974,0
Tishomingo,MS,1934,977,0
Tunica,MS,945,99,0
Union,MS,2939,1237,0
Walthall,MS,3014,154,0
Warren,MS,7409,1631,0
Washington,MS,5611,2004,0
Wayne,MS,3539,276,0
Webster,MS,2884,237,0
Wilkinson,MS,1473,103,0
Winston,MS,3922,237,0
Yalobusha,MS,2385,259,0
Yazoo,MS,4801,204,0
