Beaverhead,MT,3044,942,49
Big Horn,MT,2390,2681,39
Blaine,MT,1736,1229,32
Broadwater,MT,1345,458,27
Carbon,MT,2877,1657,53
Carter,MT,823,194,11
Cascade,MT,19846,14252,407
Chouteau,MT,2425,896,39
Custer,MT,3879,1982,58
Daniels,MT,984,473,20
Dawson,MT,3468,1776,70
Deer Lodge,MT,1901,3539,65
Fallon,MT,1237,569,23
Fergus,MT,4585,1804,70
Flathead,MT,17012,8310,481
Gallatin,MT,15643,8163,334
Garfield,MT,770,134,7
Glacier,MT,2228,2167,40
Golden Valley,MT,384,211,5
Granite,MT,880,417,25
Hill,MT,4635,3657,98
Jefferson,MT,2226,1324,68
Judith Basin,MT,1050,483,17
Lake,MT,5754,3473,121
Lewis and Clark,MT,13569,8768,289
Liberty,MT,895,323,11
Lincoln,MT,4080,2959,145
Madison,MT,2308,708,53
McCone,MT,1015,459,23
Meagher,MT,771,283,15
Mineral,MT,943,718,43
Missoula,MT,19777,16540,620
Musselshell,MT,1541,781,37
Park,MT,4115,2387,79
Petroleum,MT,258,86,3
Phillips,MT,1934,787,28
Pondera,MT,2239,1039,38
Powder River,MT,1066,346,17
Powell,MT,1877,1066,69
Prairie,MT,693,289,9
Ravalli,MT,8161,3825,168
Richland,MT,3847,1382,52
Roosevelt,MT,2431,1962,71
Rosebud,MT,2413,1920,69
Sanders,MT,2467,1654,83
Sheridan,MT,1774,1087,18
Silver Bow,MT,6637,11095,278
Stillwater,MT,2118,1100,40
Sweet Grass,MT,1417,378,8
Teton,MT,2257,1102,25
Toole,MT,1949,789,30
Treasure,MT,353,209,14
Valley,MT,3123,1849,74
Wheatland,MT,753,407,13
Wibaux,MT,423,216,12
Yellowstone,MT,34124,19437,592
Yellowstone,MT,34124,19437,592
