Adams,ND,1343,530,27
Barnes,ND,4348,2507,70
Benson,ND,1729,1599,35
Billings,ND,505,133,15
Bottineau,ND,3356,1279,53
Bowman,ND,1559,562,28
Burke,ND,1298,543,28
Burleigh,ND,19913,8781,482
Cass,ND,29221,18054,354
Cavalier,ND,2661,1110,33
Dickey,ND,2460,1051,35
Divide,ND,1165,626,49
Dunn,ND,1583,716,25
Eddy,ND,1049,796,15
Emmons,ND,1885,620,61
Foster,ND,1422,765,27
Golden Valley,ND,964,325,30
Grand Forks,ND,15898,10050,243
Grant,ND,1607,507,31
Griggs,ND,1254,828,12
Hettinger,ND,1646,524,32
Kidder,ND,1240,506,61
LaMoure,ND,1978,1086,44
Logan,ND,1222,401,53
McHenry,ND,2485,1283,33
McIntosh,ND,2047,427,39
McKenzie,ND,2610,974,43
McLean,ND,3673,2062,112
Mercer,ND,3705,1729,76
Morton,ND,7146,3996,214
Mountrail,ND,1959,1565,31
Nelson,ND,1445,1026,42
Oliver,ND,915,419,23
Pembina,ND,2895,1367,125
Pierce,ND,1883,691,52
Ramsey,ND,4150,2304,99
Ransom,ND,1706,1222,45
Renville,ND,1163,592,19
Richland,ND,5980,3047,106
Rolette,ND,1479,2179,93
Sargent,ND,1385,1295,45
Sheridan,ND,1075,306,15
Sioux,ND,442,655,21
Slope,ND,419,174,12
Stark,ND,7641,2759,340
Steele,ND,941,781,18
Stutsman,ND,6591,3495,122
Towner,ND,1242,789,34
Traill,ND,3037,1580,77
Walsh,ND,4347,2264,93
Ward,ND,16077,7336,210
Wells,ND,2426,1036,44
Williams,ND,8166,3177,180
