Adams,NE,7191,3524,647
Antelope,NE,2805,952,360
Arthur,NE,218,47,15
Banner,NE,350,72,69
Blaine,NE,344,64,25
Boone,NE,2179,934,291
Box Butte,NE,2728,1052,263
Boyd,NE,1250,437,247
Brown,NE,1340,369,162
Buffalo,NE,6786,2875,733
Burt,NE,2615,937,263
Butler,NE,1646,1544,324
Cass,NE,3185,1739,605
Cedar,NE,2853,1444,340
Chase,NE,1171,363,193
Cherry,NE,2199,582,222
Cheyenne,NE,2725,993,414
Clay,NE,2273,935,206
Colfax,NE,2264,932,315
Cuming,NE,3254,935,296
Custer,NE,4325,1407,401
Dakota,NE,2383,1541,286
Dawes,NE,2600,741,273
Dawson,NE,5221,1614,419
Deuel,NE,997,250,78
Dixon,NE,2051,890,183
Dodge,NE,8059,3755,822
Douglas,NE,69808,51617,15739
Dundy,NE,1001,261,128
Fillmore,NE,2213,1297,203
Franklin,NE,1447,626,152
Frontier,NE,1183,345,157
Furnas,NE,2137,701,223
Gage,NE,5465,3704,637
Garden,NE,1120,206,99
Garfield,NE,797,183,63
Gosper,NE,701,229,57
Grant,NE,311,84,20
Greeley,NE,882,739,142
Hall,NE,8457,4571,833
Hamilton,NE,2592,918,144
Harlan,NE,1392,579,203
Hayes,NE,496,127,73
Hitchcock,NE,1173,387,193
Holt,NE,3319,1278,430
Hooker,NE,350,36,12
Howard,NE,1256,1003,186
Jefferson,NE,2793,1572,272
Johnson,NE,1508,759,215
Kearney,NE,1806,825,191
Keith,NE,2126,694,178
Keya Paha,NE,531,109,50
Kimball,NE,1423,414,237
Knox,NE,3129,1131,328
Lancaster,NE,33051,23539,2940
Lincoln,NE,5996,3491,782
Logan,NE,363,130,54
Loup,NE,331,64,38
Madison,NE,7066,2364,614
McPherson,NE,236,40,34
Merrick,NE,2031,840,212
Morrill,NE,1516,480,285
Nance,NE,1316,677,172
Nemaha,NE,2290,1023,295
Nuckolls,NE,1894,1127,172
Otoe,NE,3840,1508,474
Pawnee,NE,1209,583,213
Perkins,NE,1165,360,127
Phelps,NE,2976,825,254
Pierce,NE,2408,674,197
Platte,NE,5817,2999,768
Polk,NE,1795,690,201
Red Willow,NE,3066,1145,364
Richardson,NE,3133,1591,527
Rock,NE,791,146,94
Saline,NE,2341,2543,350
Sarpy,NE,6019,3506,1945
Saunders,NE,3429,1990,556
Scotts Bluff,NE,7356,2649,946
Seward,NE,2939,1658,254
Sheridan,NE,2236,454,241
Sherman,NE,955,851,180
Sioux,NE,565,157,69
Stanton,NE,1408,411,154
Thayer,NE,2331,1061,177
Thomas,NE,354,76,31
Thurston,NE,1341,802,210
Valley,NE,1759,793,179
Washington,NE,3063,1279,492
Wayne,NE,2582,786,192
Webster,NE,1521,781,186
Wheeler,NE,323,131,49
York,NE,3923,1237,259
