Atlantic,NJ,34279,39633,15890
Bergen,NJ,178223,171104,52082
Burlington,NJ,63709,72845,35322
Camden,NJ,67205,104915,37144
Cape May,NJ,21502,17324,9798
Cumberland,NJ,19253,22220,9901
Essex,NJ,89146,158130,26961
Gloucester,NJ,37335,42425,24132
Hudson,NJ,66505,99799,14569
Hunterdon,NJ,25130,15423,12736
Mercer,NJ,50473,71383,22503
Middlesex,NJ,108701,128824,45055
Monmouth,NJ,117715,101750,45445
Morris,NJ,108431,67593,32447
Ocean,NJ,95984,75431,41668
Passaic,NJ,71147,70030,21494
Salem,NJ,10363,10062,7274
Somerset,NJ,56044,42867,21014
Sussex,NJ,29510,14775,12537
Union,NJ,87742,96671,23991
Warren,NJ,18468,13002,9866
