Bernalillo,NM,44805,40908,0
Catron,NM,671,573,0
Chaves,NM,9089,6212,0
Valencia,NM,4929,7043,0
Colfax,NM,2316,3187,0
Curry,NM,6153,3421,0
De Baca,NM,734,619,0
Dona Ana,NM,7789,8905,0
Eddy,NM,7986,8707,0
Grant,NM,2468,4378,0
Guadalupe,NM,1242,1589,0
Harding,NM,616,396,0
Hidalgo,NM,750,889,0
Lea,NM,7548,7806,0
Lincoln,NM,2042,1459,0
Los Alamos,NM,2574,2692,0
Luna,NM,1583,1708,0
McKinley,NM,4262,5599,0
Mora,NM,1349,1458,0
Otero,NM,4507,4916,0
Quay,NM,2652,2050,0
Rio Arriba,NM,3716,6250,0
Roosevelt,NM,4039,1761,0
San Juan,NM,7521,5370,0
San Miguel,NM,3988,5520,0
Sandoval,NM,1447,2672,0
Sandoval,NM,1447,2672,0
Santa Fe,NM,7411,10385,0
Sierra,NM,1890,1220,0
Socorro,NM,1796,2327,0
Taos,NM,2620,3631,0
Torrance,NM,1554,1308,0
Union,NM,1686,1068,0
Valencia,NM,4929,7043,0
