Albany,NY,81848,67297,330
Allegany,NY,13426,4812,46
Bronx,NY,196754,243345,1075
Broome,NY,55736,37154,245
Cattaraugus,NY,21906,10909,112
Cayuga,NY,22774,11097,81
Chautauqua,NY,37158,26253,172
Chemung,NY,26200,12650,94
Chenango,NY,13770,5695,44
Clinton,NY,17048,9703,53
Columbia,NY,17995,7558,57
Cortland,NY,12885,5234,37
Delaware,NY,15136,5243,47
Dutchess,NY,64864,27872,167
Erie,NY,256462,218105,1456
Essex,NY,11763,4955,34
Franklin,NY,10959,5266,35
Fulton,NY,15200,7303,72
Genesee,NY,17107,8631,73
Greene,NY,14313,5260,45
Hamilton,NY,2597,731,6
Herkimer,NY,20194,9487,86
Jefferson,NY,23123,11629,65
Kings,NY,373903,387768,1949
Lewis,NY,6591,2987,30
Livingston,NY,15886,7031,63
Madison,NY,18392,6241,64
Monroe,NY,196579,120031,695
Montgomery,NY,16640,9460,71
Nassau,NY,438723,252831,1473
New York,NY,178515,354326,2022
Niagara,NY,54777,38991,323
Oneida,NY,78549,33642,253
Onondaga,NY,140039,61895,482
Ontario,NY,23828,11012,81
Orange,NY,63556,25778,181
Orleans,NY,10938,4371,20
Oswego,NY,29109,11317,92
Otsego,NY,17364,7898,59
Putnam,NY,21673,7747,77
Queens,NY,426015,328316,1756
Rensselaer,NY,48864,24019,188
Richmond,NY,84686,29241,196
Rockland,NY,64753,35771,196
Saratoga,NY,40582,17899,150
Schenectady,NY,47529,29619,191
Schoharie,NY,8644,3730,32
Schuyler,NY,4945,1937,9
Seneca,NY,9368,4441,33
St. Lawrence,NY,26145,15286,72
Steuben,NY,28708,9462,83
Suffolk,NY,316452,132441,1005
Sullivan,NY,17035,9847,56
Tioga,NY,13396,5470,44
Tompkins,NY,17605,12344,62
Ulster,NY,46883,21371,179
Warren,NY,16649,5760,56
Washington,NY,16136,5677,51
Wayne,NY,23379,8203,60
Westchester,NY,262901,154412,1122
Wyoming,NY,11184,4365,39
Yates,NY,6639,1958,21
