Adams,OH,4980,2709,193
Allen,OH,26966,10184,1393
Ashland,OH,12470,4302,302
Ashtabula,OH,22762,15052,794
Athens,OH,9735,9977,203
Auglaize,OH,11900,4617,530
Belmont,OH,17628,14800,450
Brown,OH,6772,3770,262
Butler,OH,50380,21194,2061
Carroll,OH,5984,2755,275
Champaign,OH,8756,3626,221
Clark,OH,34447,19725,1578
Clermont,OH,22936,8276,777
Clinton,OH,8140,2709,139
Columbiana,OH,27308,15683,611
Coshocton,OH,8082,3790,334
Crawford,OH,14632,5518,903
Cuyahoga,OH,329493,317670,12588
Darke,OH,13862,6534,700
Defiance,OH,8914,4377,339
Delaware,OH,12950,4452,484
Erie,OH,16714,10889,988
Fairfield,OH,21909,7746,913
Fayette,OH,6970,2344,201
Franklin,OH,219771,117562,7475
Fulton,OH,8387,3615,232
Gallia,OH,6506,2341,139
Geauga,OH,15624,7329,624
Greene,OH,25349,12736,824
Guernsey,OH,9648,4757,214
Hamilton,OH,239212,119054,6119
Hancock,OH,18111,6084,1429
Hardin,OH,8713,3535,354
Harrison,OH,4554,2388,68
Henry,OH,8099,3145,231
Highland,OH,8524,3464,238
Hocking,OH,5407,2874,211
Holmes,OH,3752,1507,103
Huron,OH,10942,5491,907
Jackson,OH,7351,3410,162
Jefferson,OH,21531,16198,545
Knox,OH,10705,5370,664
Lake,OH,42488,27523,2130
Lawrence,OH,15125,7112,330
Licking,OH,28070,12460,1702
Logan,OH,10938,3786,656
Lorain,OH,51102,36634,3280
Lucas,OH,88401,90142,4166
Madison,OH,8372,2484,208
Mahoning,OH,64144,62428,2516
Marion,OH,17197,7970,492
Medina,OH,21010,10643,758
Meigs,OH,5961,2335,137
Mercer,OH,8587,5798,522
Miami,OH,21226,9121,665
Monroe,OH,3721,2483,88
Montgomery,OH,120998,82231,5323
Morgan,OH,3679,1554,138
Morrow,OH,6886,2527,346
Muskingum,OH,19897,10313,884
Noble,OH,3274,1449,76
Ottawa,OH,9772,6465,652
Paulding,OH,4553,2283,189
Perry,OH,6716,3728,365
Pickaway,OH,9661,2978,363
Pike,OH,5037,3531,193
Portage,OH,23294,20769,939
Preble,OH,8993,3472,330
Putnam,OH,8185,3729,428
Richland,OH,31117,13468,1056
Ross,OH,15573,5879,436
Sandusky,OH,15489,8308,546
Scioto,OH,19998,11008,673
Seneca,OH,13939,8180,799
Shelby,OH,9089,4721,893
Stark,OH,92110,51565,3135
Summit,OH,112419,108534,4263
Trumbull,OH,47680,35278,2308
Tuscarawas,OH,18413,12255,501
Union,OH,8389,2447,218
Van Wert,OH,9545,3644,202
Vinton,OH,2725,1537,74
Warren,OH,20210,6941,746
Washington,OH,14023,5814,597
Wayne,OH,20368,9260,448
Williams,OH,9083,4278,244
Wood,OH,21080,13494,1051
Wyandot,OH,6414,2771,227
