Adair,OK,3013,3183,63
Alfalfa,OK,2113,1725,59
Atoka,OK,1098,3276,28
Beaver,OK,1801,1213,47
Beckham,OK,2351,4530,54
Blaine,OK,2682,2297,77
Bryan,OK,2848,7410,35
Caddo,OK,3854,7382,91
Canadian,OK,9766,7288,285
Carter,OK,6668,8319,83
Cherokee,OK,4443,6006,115
Choctaw,OK,1821,4269,50
Cimarron,OK,872,962,45
Cleveland,OK,22098,20054,1129
Coal,OK,769,1774,23
Comanche,OK,13163,12910,230
Cotton,OK,1127,1911,26
Craig,OK,2540,3577,61
Creek,OK,8458,8964,169
Custer,OK,4847,4597,102
Delaware,OK,3642,4924,91
Dewey,OK,1230,1540,55
Ellis,OK,1429,1256,61
Garfield,OK,14202,8969,303
Garvin,OK,3905,6797,83
Grady,OK,4686,7155,114
Grant,OK,1685,1853,50
Greer,OK,1164,2113,31
Harmon,OK,666,1371,8
Harper,OK,1303,978,39
Haskell,OK,1401,3388,29
Hughes,OK,1715,4185,56
Jackson,OK,3189,4914,60
Jefferson,OK,956,2303,26
Johnston,OK,1127,2765,42
Kay,OK,12441,9371,274
Kingfisher,OK,3443,2372,82
Kiowa,OK,1971,3403,46
Latimer,OK,1312,2661,55
Le Flore,OK,4907,8033,145
Lincoln,OK,4429,4988,133
Logan,OK,4382,4594,160
Love,OK,846,1923,9
Major,OK,2282,1357,58
Marshall,OK,1358,2939,27
Mayes,OK,5040,6298,81
McClain,OK,2444,4048,80
McCurtain,OK,3423,7560,97
McIntosh,OK,1822,4145,48
Murray,OK,1563,2932,41
Muskogee,OK,10287,14678,190
Noble,OK,2634,2278,53
Nowata,OK,2077,2195,39
Okfuskee,OK,1630,2663,32
Oklahoma,OK,119120,87185,3808
Okmulgee,OK,5333,8499,131
Osage,OK,6398,6832,118
Ottawa,OK,4985,7446,84
Pawnee,OK,3111,3031,59
Payne,OK,13481,9987,420
Pittsburg,OK,4807,10743,142
Pontotoc,OK,4895,7466,125
Pottawatomie,OK,9090,11255,226
Pushmataha,OK,1360,2987,29
Roger Mills,OK,873,1346,24
Rogers,OK,7318,7368,129
Seminole,OK,4237,5874,91
Sequoyah,OK,3938,5873,73
Stephens,OK,7099,9795,126
Texas,OK,3919,2591,70
Tillman,OK,1802,2852,41
Tulsa,OK,108653,65298,2349
Wagoner,OK,5071,5879,107
Washington,OK,14560,6898,212
Washita,OK,2165,3304,62
Woods,OK,2788,2530,103
Woodward,OK,3782,2807,102
