Baker,OR,2670,3903,0
Benton,OR,7250,8971,0
Clackamas,OR,21299,35711,0
Clatsop,OR,4023,8371,0
Columbia,OR,2489,7728,0
Coos,OR,5032,16109,0
Crook,OR,1161,2419,0
Curry,OR,1467,3195,0
Deschutes,OR,3148,6947,0
Douglas,OR,9806,15909,0
Gilliam,OR,442,775,0
Grant,OR,1149,1877,0
Harney,OR,1172,1577,0
Hood River,OR,1786,3564,0
Jackson,OR,14598,19486,0
Jefferson,OR,1197,1739,0
Josephine,OR,6918,6857,0
Klamath,OR,8530,9066,0
Lake,OR,1304,1419,0
Lane,OR,24139,49785,0
Lincoln,OR,3200,7101,0
Linn,OR,8382,14926,0
Malheur,OR,4177,3798,0
Marion,OR,18897,32091,0
Morrow,OR,627,1470,0
Multnomah,OR,81683,161040,0
Polk,OR,4319,7292,0
Sherman,OR,494,859,0
Tillamook,OR,2318,5246,0
Umatilla,OR,6138,10689,0
Union,OR,2553,4929,0
Wallowa,OR,1055,1790,0
Wasco,OR,2695,5890,0
Washington,OR,20813,29081,0
Wheeler,OR,340,458,0
Yamhill,OR,5508,8949,0
