Adams,PA,11303,5993,1579
Allegheny,PA,264790,364906,79776
Armstrong,PA,14132,13921,2256
Beaver,PA,28264,45396,7974
Bedford,PA,10482,4725,1301
Berks,PA,50623,49877,8093
Blair,PA,28780,15803,3644
Bradford,PA,13308,6373,1347
Bucks,PA,69646,57634,15211
Butler,PA,21618,19415,4139
Cambria,PA,33280,41225,4485
Cameron,PA,1822,1104,159
Carbon,PA,9954,10634,952
Centre,PA,15865,11163,1389
Chester,PA,56073,32606,9142
Clarion,PA,8077,5341,981
Clearfield,PA,14471,12369,2252
Clinton,PA,6563,6301,625
Columbia,PA,12202,8187,1797
Crawford,PA,14991,11345,1832
Cumberland,PA,32908,15467,4893
Dauphin,PA,48394,25480,7534
Delaware,PA,133777,106695,25051
Elk,PA,6193,6886,945
Erie,PA,43134,51604,4868
Fayette,PA,18921,34340,5984
Forest,PA,1172,669,129
Franklin,PA,19146,11451,4557
Fulton,PA,2200,1174,592
Greene,PA,5099,8198,1094
Huntingdon,PA,8276,4128,962
Indiana,PA,14899,12175,2078
Jefferson,PA,10214,6839,1278
Juniata,PA,4039,2321,507
Lackawanna,PA,44388,66297,3538
Lancaster,PA,69953,29870,8194
Lawrence,PA,18360,21027,3635
Lebanon,PA,21832,9529,2584
Lehigh,PA,47255,44033,3900
Luzerne,PA,57044,79040,6857
Lycoming,PA,23830,16888,2761
McKean,PA,10506,6326,745
Mercer,PA,23131,22814,3033
Mifflin,PA,8133,5681,859
Monroe,PA,9465,6946,1267
Montgomery,PA,141621,102464,15599
Montour,PA,3289,2239,438
Northampton,PA,32033,42554,3276
Northumberland,PA,22366,17013,2456
Perry,PA,6655,2944,1222
Philadelphia,PA,254153,525768,63506
Pike,PA,3719,1617,441
Potter,PA,4019,1860,451
Schuylkill,PA,37194,34982,4381
Snyder,PA,6784,1993,676
Somerset,PA,17511,11515,1845
Sullivan,PA,1629,1035,200
Susquehanna,PA,8705,4364,929
Tioga,PA,9298,3488,1065
Union,PA,6422,2178,581
Venango,PA,12323,8319,1262
Warren,PA,8889,6368,676
Washington,PA,28023,47805,9016
Wayne,PA,7827,3176,754
Westmoreland,PA,52206,81833,14436
Wyoming,PA,5207,2366,539
York,PA,51631,33328,8054
