Abbeville,SC,1448,2689,0
Aiken,SC,17467,7622,0
Allendale,SC,1740,772,0
Anderson,SC,8398,11670,0
Bamberg,SC,2366,1419,0
Barnwell,SC,3670,1382,0
Beaufort,SC,3432,2747,0
Berkeley,SC,6100,3537,0
Calhoun,SC,1591,612,0
Charleston,SC,32509,14564,0
Cherokee,SC,3627,4258,0
Chester,SC,2915,3882,0
Chesterfield,SC,2449,4634,0
Clarendon,SC,2960,832,0
Colleton,SC,4637,2051,0
Darlington,SC,6717,5010,0
Dillon,SC,2742,2773,0
Dorchester,SC,5109,1604,0
Edgefield,SC,2489,824,0
Fairfield,SC,1997,2628,0
Florence,SC,10346,7157,0
Georgetown,SC,4705,3423,0
Greenville,SC,29358,17275,0
Greenwood,SC,5653,5479,0
Hampton,SC,2259,1439,0
Horry,SC,8293,5444,0
Jasper,SC,1593,1002,0
Kershaw,SC,5617,3168,0
Lancaster,SC,4742,4970,0
Laurens,SC,5081,4365,0
Lee,SC,2489,1156,0
Lexington,SC,12041,4807,0
Marion,SC,3197,2046,0
Marlboro,SC,1864,2422,0
McCormick,SC,939,498,0
Newberry,SC,5571,3222,0
Oconee,SC,2712,5560,0
Orangeburg,SC,10456,5607,0
Pickens,SC,5882,3506,0
Richland,SC,27306,17939,0
Saluda,SC,2524,1409,0
Spartanburg,SC,18411,20034,0
Sumter,SC,7729,3775,0
Union,SC,3815,3892,0
Williamsburg,SC,4810,2248,0
York,SC,7292,8346,0
