Aurora,SD,594,680,435
Beadle,SD,3363,3925,1819
Bennett,SD,556,413,221
Bon Homme,SD,1212,1294,836
Brookings,SD,4698,4645,2614
Brown,SD,6665,7521,3812
Brule,SD,908,1060,687
Buffalo,SD,137,282,72
Butte,SD,1674,973,1039
Campbell,SD,574,222,252
Charles Mix,SD,1570,1639,886
Clark,SD,803,799,761
Clay,SD,1869,2826,1303
Codington,SD,3943,3701,3262
Corson,SD,483,444,321
Custer,SD,1422,1078,845
Davison,SD,3111,3285,1706
Day,SD,1161,1578,973
Deuel,SD,778,880,761
Dewey,SD,642,766,340
Douglas,SD,1175,481,403
Edmunds,SD,944,894,415
Fall River,SD,1533,1416,792
Faulk,SD,658,488,281
Grant,SD,1595,1484,1018
Gregory,SD,1027,879,688
Haakon,SD,860,209,245
Hamlin,SD,1133,826,774
Hand,SD,1130,785,624
Hanson,SD,522,566,341
Harding,SD,515,139,225
Hughes,SD,4325,2578,1160
Hutchinson,SD,2002,1211,920
Hyde,SD,440,301,211
Jackson,SD,627,351,184
Jerauld,SD,518,600,346
Jones,SD,454,166,154
Kingsbury,SD,1113,1267,744
Lake,SD,1890,2388,1299
Lawrence,SD,3770,3157,2673
Lincoln,SD,3365,2943,1593
Lyman,SD,669,486,311
Marshall,SD,810,1056,427
McCook,SD,1177,1167,617
McPherson,SD,945,478,322
Meade,SD,4724,2694,2611
Mellette,SD,417,277,140
Miner,SD,543,698,332
Minnehaha,SD,25081,27016,11496
Moody,SD,898,1473,715
Pennington,SD,18052,11106,8358
Perkins,SD,872,566,541
Potter,SD,901,493,375
Roberts,SD,1437,1716,954
Sanborn,SD,595,632,376
Shannon,SD,225,1267,137
Spink,SD,1527,1732,839
Stanley,SD,719,427,240
Sully,SD,565,273,167
Todd,SD,456,915,246
Tripp,SD,1459,1046,848
Turner,SD,1906,1507,867
Union,SD,1784,2210,1085
Walworth,SD,1439,829,628
Yankton,SD,3430,3404,2511
Ziebach,SD,328,280,117
