Anderson,TN,14688,13556,316
Bedford,TN,5911,6136,80
Benton,TN,2484,3700,62
Bledsoe,TN,2380,1756,35
Blount,TN,25273,14688,379
Bradley,TN,20167,8768,271
Campbell,TN,5784,6492,74
Cannon,TN,1924,2697,45
Carroll,TN,5465,5239,65
Carter,TN,12111,6724,157
Cheatham,TN,6356,6062,139
Chester,TN,3487,2192,25
Claiborne,TN,5023,3841,60
Clay,TN,1468,1931,19
Cocke,TN,6185,3872,93
Coffee,TN,8788,8741,151
Crockett,TN,2676,2705,42
Cumberland,TN,10994,7644,223
Davidson,TN,84117,120508,2920
DeKalb,TN,2411,3765,63
Decatur,TN,2046,2278,22
Dickson,TN,7016,8332,120
Dyer,TN,6282,5425,88
Fayette,TN,6402,5037,44
Fentress,TN,3417,2529,28
Franklin,TN,6560,7828,190
Gibson,TN,8286,8663,101
Giles,TN,4377,5527,79
Grainger,TN,3746,2361,46
Greene,TN,12540,7909,185
Grundy,TN,1553,2970,37
Hamblen,TN,11824,7564,181
Hamilton,TN,66605,51708,1290
Hancock,TN,1343,690,17
Hardeman,TN,3729,4953,38
Hardin,TN,4951,3735,49
Hawkins,TN,10071,6753,147
Haywood,TN,2554,3887,20
Henderson,TN,5153,3166,46
Henry,TN,5944,6093,125
Hickman,TN,2914,4239,58
Houston,TN,993,2081,16
Humphreys,TN,2387,4205,65
Jackson,TN,1384,3304,36
Jefferson,TN,8657,5226,121
Johnson,TN,3740,1813,54
Knox,TN,86851,60969,1772
Lake,TN,781,1419,11
Lauderdale,TN,3329,4224,27
Lawrence,TN,7613,6643,98
Lewis,TN,2037,2281,63
Lincoln,TN,5435,5060,72
Loudon,TN,10266,5905,132
Loudon,TN,10266,5905,132
Macon,TN,3366,3059,30
Madison,TN,17862,15781,173
Marion,TN,4651,5441,74
Marshall,TN,4105,5107,94
Maury,TN,11930,11127,207
McMinn,TN,10155,6142,142
McNairy,TN,4897,4003,47
Meigs,TN,1797,1555,12
Monroe,TN,7514,5327,78
Montgomery,TN,19644,18818,359
Moore,TN,1145,1107,27
Morgan,TN,3144,2921,39
Obion,TN,6168,6056,99
Overton,TN,2875,4507,46
Perry,TN,1165,1650,28
Pickett,TN,1281,939,12
Polk,TN,2907,2574,46
Putnam,TN,11248,10785,228
Rhea,TN,5900,3722,74
Roane,TN,11345,9575,211
Robertson,TN,9675,10249,148
Rutherford,TN,33445,27360,1024
Scott,TN,3579,2967,31
Sequatchie,TN,2169,1648,37
Sevier,TN,16734,8208,259
Shelby,TN,141756,190404,2860
Smith,TN,2384,4884,42
Stewart,TN,1826,2870,50
Sullivan,TN,33482,21354,520
Sumner,TN,27601,22118,482
Tipton,TN,10070,6300,96
Tipton,TN,10070,6300,96
Trousdale,TN,950,1966,15
Unicoi,TN,3780,2566,40
Union,TN,3199,2564,30
Van Buren,TN,845,1255,8
Warren,TN,5552,7378,105
Washington,TN,22579,14769,375
Wayne,TN,3370,1859,43
Weakley,TN,6106,5570,91
White,TN,3525,4135,58
White,TN,3525,4135,58
Williamson,TN,38901,18745,536
Wilson,TN,18844,16561,308
