Anderson,TX,2828,3447,3196
Andrews,TX,1400,922,1312
Angelina,TX,4645,5174,6111
Aransas,TX,1076,1222,417
Aransas,TX,1076,1222,417
Archer,TX,636,1308,413
Armstrong,TX,434,301,206
Atascosa,TX,1805,2522,771
Austin,TX,1971,1299,1084
Bailey,TX,1174,820,563
Bandera,TX,842,535,423
Bastrop,TX,1455,2687,975
Baylor,TX,657,1064,443
Bee,TX,1995,2957,589
Bell,TX,5705,11893,3547
Bexar,TX,72951,95325,16598
Blanco,TX,614,620,223
Borden,TX,117,157,112
Bosque,TX,1377,1817,727
Bowie,TX,5966,6468,7165
Brazoria,TX,10631,11439,8026
Brazos,TX,6839,6299,2437
Brewster,TX,790,958,342
Briscoe,TX,411,528,219
Brooks,TX,534,1904,166
Brown,TX,2997,3999,1606
Burleson,TX,891,1678,694
Burnet,TX,1459,1876,643
Caldwell,TX,1402,2889,837
Calhoun,TX,1672,2612,1065
Calhoun,TX,1672,2612,1065
Calhoun,TX,1672,2612,1065
Calhoun,TX,1672,2612,1065
Callahan,TX,921,1437,737
Cameron,TX,11759,15726,2042
Cameron,TX,11759,15726,2042
Camp,TX,555,1272,1074
Carson,TX,1211,904,570
Cass,TX,1930,2536,2883
Castro,TX,1033,1181,623
Chambers,TX,1061,1217,1329
Cherokee,TX,2575,3242,3791
Childress,TX,1045,1093,621
Clay,TX,936,1573,665
Cochran,TX,548,633,449
Coke,TX,387,563,208
Coleman,TX,1507,1449,1153
Collin,TX,6494,5918,3850
Collingsworth,TX,712,746,475
Colorado,TX,2296,1976,1163
Comal,TX,3646,2338,724
Comanche,TX,1436,1980,708
Concho,TX,411,502,197
Cooke,TX,3799,2711,1412
Coryell,TX,1698,2987,1172
Cottle,TX,268,742,266
Crane,TX,493,498,712
Crockett,TX,509,571,279
Crosby,TX,865,1574,401
Culberson,TX,298,330,145
Dallam,TX,990,588,430
Dallas,TX,184193,123809,55552
Dawson,TX,2091,1522,900
Dewitt,TX,2589,1871,784
Deaf Smith,TX,2474,1545,691
Delta,TX,370,1037,475
