Autauga,AL,11993,4942,160
Baldwin,AL,40872,13997,1033
Barbour,AL,5096,5188,46
Bibb,AL,4273,2710,52
Blount,AL,12667,4977,154
Bullock,AL,1433,3395,24
Butler,AL,4127,3606,36
Calhoun,AL,22306,15781,481
Chambers,AL,6037,5616,95
Cherokee,AL,4154,3497,77
Chilton,AL,10066,4806,92
Choctaw,AL,3600,3707,33
Clarke,AL,5988,4679,33
Clay,AL,3719,2045,52
Cleburne,AL,3333,1664,39
Coffee,AL,9938,5220,155
Colbert,AL,10518,10543,208
Conecuh,AL,2699,2783,35
Coosa,AL,2382,2104,34
Covington,AL,8961,4440,123
Crenshaw,AL,2793,1934,40
Cullman,AL,19157,9758,282
Dale,AL,10593,4906,188
Dallas,AL,7360,10967,63
DeKalb,AL,12827,7056,175
Elmore,AL,16777,6652,212
Escambia,AL,6975,4523,78
Etowah,AL,21087,17433,435
Fayette,AL,4582,3064,60
Franklin,AL,6119,4793,72
Geneva,AL,6588,2769,97
Greene,AL,850,3504,24
Hale,AL,2984,4652,43
Henry,AL,4054,2782,48
Houston,AL,22150,9412,257
Jackson,AL,8475,9066,184
Jefferson,AL,138491,129889,3393
Lamar,AL,4470,2653,57
Lauderdale,AL,17478,13875,354
Lawrence,AL,5671,6296,63
Lee,AL,22433,14574,895
Limestone,AL,14204,8992,193
Lowndes,AL,1638,4557,18
Macon,AL,1091,7665,31
Madison,AL,62151,48199,1885
Marengo,AL,4690,4841,40
Marion,AL,6910,4600,125
Marshall,AL,17084,10381,256
Mobile,AL,78162,58640,1585
Mobile,AL,78162,58640,1585
Monroe,AL,5153,3741,25
Montgomery,AL,38827,40371,677
Morgan,AL,25774,16060,450
Perry,AL,1732,4020,18
Pickens,AL,4306,4143,39
Pike,AL,6058,4357,75
Randolph,AL,4666,3094,60
Russell,AL,6198,8396,109
Shelby,AL,47651,13183,812
St. Clair,AL,17117,6485,221
Sumter,AL,1629,4415,20
Talladega,AL,13807,11264,184
Tallapoosa,AL,9805,6183,153
Tuscaloosa,AL,34003,24614,1007
Walker,AL,13486,11621,264
Washington,AL,4117,3386,26
Wilcox,AL,1661,3444,6
Winston,AL,6413,2692,88
Arkansas,AR,3353,2877,65
Ashley,AR,3876,4253,61
Baxter,AR,9538,6516,429
Benton,AR,34838,17277,862
Boone,AR,8569,4493,289
Bradley,AR,1793,2122,34
Calhoun,AR,1128,1017,19
Carroll,AR,5556,3595,301
Chicot,AR,1564,2820,26
Clark,AR,3776,4661,103
Clay,AR,2254,3527,73
Cleburne,AR,5730,4120,183
Cleveland,AR,1678,1414,30
Columbia,AR,5018,4003,70
Conway,AR,3545,3496,84
Craighead,AR,12158,12376,409
Crawford,AR,10804,6288,223
Crittenden,AR,5857,7224,97
Cross,AR,3033,3096,38
Dallas,AR,1571,1710,21
Desha,AR,1603,2776,38
Drew,AR,2756,3060,47
Faulkner,AR,16055,11950,513
Franklin,AR,3277,2674,100
Fulton,AR,2036,1976,51
Garland,AR,19098,15840,566
Grant,AR,3285,2535,88
Greene,AR,5831,6319,205
Hempstead,AR,3257,3937,50
Hot Spring,AR,5042,5527,202
Howard,AR,2326,2063,50
Independence,AR,6145,5146,171
Izard,AR,2301,2587,76
Jackson,AR,2280,3651,77
Jefferson,AR,8765,17716,361
Johnson,AR,3657,3270,109
Lafayette,AR,1538,1806,27
Lawrence,AR,2626,3255,87
Lee,AR,1351,2727,18
Lincoln,AR,1526,1957,21
Little River,AR,2283,2883,50
Logan,AR,4487,3283,124
Lonoke,AR,10606,6851,237
Madison,AR,3387,2055,88
Marion,AR,3402,2233,220
Miller,AR,7276,6278,100
Mississippi,AR,5199,7107,110
Monroe,AR,1329,1910,29
Montgomery,AR,2128,1438,101
Nevada,AR,1796,1867,42
Newton,AR,2529,1205,112
Ouachita,AR,4739,5464,100
Perry,AR,2114,1648,61
Phillips,AR,3154,6018,75
Pike,AR,2275,1604,45
Poinsett,AR,2988,4102,87
Polk,AR,4600,2315,130
Pope,AR,11244,6669,259
Prairie,AR,1862,1563,29
Pulaski,AR,55866,68320,1756
Randolph,AR,2673,3019,84
Saline,AR,18617,12700,533
Scott,AR,2399,1444,48
Searcy,AR,2610,1229,83
Sebastian,AR,23483,15555,503
Sevier,AR,2111,2095,55
Sharp,AR,3698,3236,115
St. Francis,AR,3414,4986,42
Stone,AR,2623,2043,98
Union,AR,8647,6261,130
Van Buren,AR,3485,3202,153
Washington,AR,28231,21425,1208
White,AR,13170,8342,243
Woodruff,AR,898,1699,19
Yell,AR,3223,3062,78
Apache,AZ,5947,13025,245
Cochise,AZ,18180,13360,1113
Coconino,AZ,17562,20280,2478
Gila,AZ,9158,7700,497
Graham,AZ,6007,3355,144
Greenlee,AZ,1619,1216,68
La Paz,AZ,2543,1769,91
Maricopa,AZ,479967,386683,22465
Mohave,AZ,24386,17470,1323
Navajo,AZ,12386,11794,517
Pima,AZ,124579,147688,12355
Pinal,AZ,20122,19650,904
Santa Cruz,AZ,3344,5233,217
Yavapai,AZ,40144,24063,2733
Yuma,AZ,15708,12055,495
Alameda,CA,119279,342889,27499
Alpine,CA,281,265,25
Amador,CA,8766,5906,584
Butte,CA,45584,31338,5727
Calaveras,CA,10599,7093,863
Colusa,CA,3629,1745,151
Contra Costa,CA,141373,224338,13067
Del Norte,CA,4526,3117,485
El Dorado,CA,42045,26220,3013
Fresno,CA,117342,95059,6541
