Accomack,VA,6352,5092,220
Albemarle,VA,18291,16255,2043
Albemarle,VA,18291,16255,2043
Alexandria city,VA,19043,33633,2094
Alleghany,VA,3421,3082,87
Alleghany,VA,3421,3082,87
Alleghany,VA,3421,3082,87
Amelia,VA,2947,1754,40
Amherst,VA,6660,4812,135
Appomattox,VA,3654,2132,62
Arlington,VA,28555,50260,3952
Augusta,VA,17744,6643,527
Augusta,VA,17744,6643,527
Augusta,VA,17744,6643,527
Bath,VA,1311,822,35
Bedford,VA,17224,8160,376
Bedford,VA,17224,8160,376
Bedford city,VA,1269,1078,38
Bland,VA,1759,851,42
Botetourt,VA,8867,4627,207
Bristol city,VA,3495,2646,89
Brunswick,VA,2561,3387,28
Buchanan,VA,3867,5745,65
Buckingham,VA,2738,2561,96
Buena Vista city,VA,980,941,27
Campbell,VA,13162,6659,236
Caroline,VA,3873,4314,102
Carroll,VA,7142,3638,126
Charles City,VA,1023,1981,31
Charlotte,VA,2855,2017,43
Charlottesville city,VA,4034,7762,1196
Chesapeake city,VA,39684,33578,732
Chesterfield,VA,69924,38638,1646
Clarke,VA,2883,2166,195
Colonial Heights city,VA,5519,2100,123
Covington city,VA,966,1168,24
Craig,VA,1580,851,39
Culpeper,VA,7440,4364,253
Cumberland,VA,1974,1405,35
Danville city,VA,9427,8221,168
Dickenson,VA,3122,3951,85
Dinwiddie,VA,4959,4001,74
Emporia city,VA,938,1116,17
Essex,VA,1995,1750,59
Fairfax,VA,202181,196501,12201
Fairfax,VA,202181,196501,12201
Fairfax city,VA,4762,4361,352
Falls Church city,VA,2131,3109,285
Fauquier,VA,14456,8296,570
Floyd,VA,3423,1957,244
Fluvanna,VA,4962,3431,252
Franklin,VA,11225,7145,303
Franklin city,VA,1393,1763,25
Frederick,VA,14574,7158,483
Frederick,VA,14574,7158,483
Fredericksburg city,VA,2935,3360,326
Galax city,VA,1160,996,42
Giles,VA,3574,3004,137
Gloucester,VA,8718,4553,225
Goochland,VA,5378,3197,139
Grayson,VA,4236,2467,102
Greene,VA,3375,1774,194
Greensville,VA,1565,2314,13
Greensville,VA,1565,2314,13
Halifax,VA,7732,5963,110
Halifax,VA,7732,5963,110
Hampton city,VA,19561,27490,563
Hanover,VA,28614,12044,711
Harrisonburg city,VA,5741,3482,641
Henrico,VA,62887,48645,1893
Henry,VA,11870,8898,234
Henry,VA,11870,8898,234
Highland,VA,942,453,32
Hopewell city,VA,3749,3024,73
Isle of Wight,VA,7587,5162,123
James City,VA,14628,9090,639
King George,VA,3590,2070,132
King William,VA,3547,2125,74
King and Queen,VA,1423,1387,33
Lancaster,VA,3411,1937,88
Lee,VA,4551,4031,79
Lexington city,VA,957,1048,103
Loudoun,VA,42453,30938,1665
Louisa,VA,5461,4309,222
Lunenburg,VA,2510,2026,33
Lynchburg city,VA,12518,10374,441
Madison,VA,2940,1844,148
Manassas Park city,VA,1460,1048,51
Manassas city,VA,6752,5262,230
Martinsville city,VA,2560,3048,59
Mathews,VA,2951,1499,88
Mecklenburg,VA,6600,4797,104
Middlesex,VA,2844,1671,84
Montgomery,VA,13991,11720,1222
Nelson,VA,2913,2907,273
New Kent,VA,3934,2055,81
Newport News city,VA,27006,29779,722
Norfolk city,VA,21920,38221,1153
Northampton,VA,2299,2340,108
Northumberland,VA,3362,2118,97
Norton city,VA,639,867,20
Nottoway,VA,2870,2460,46
Orange,VA,5991,4126,236
Page,VA,5089,2726,143
Patrick,VA,4901,2254,101
Petersburg city,VA,2109,8751,117
Pittsylvania,VA,15760,7834,207
Poquoson city,VA,4271,1448,93
Portsmouth city,VA,12628,22286,348
Powhatan,VA,6820,2708,122
Prince Edward,VA,3214,2922,115
Prince George,VA,6579,4182,97
Prince William,VA,52788,44745,1927
Prince William,VA,52788,44745,1927
Pulaski,VA,7089,5255,207
Radford city,VA,2190,2063,172
Rappahannock,VA,1850,1462,161
Richmond,VA,1784,1076,44
Richmond city,VA,20265,42717,2425
Roanoke,VA,25740,16141,681
Roanoke,VA,25740,16141,681
Roanoke city,VA,14630,17920,603
Rockbridge,VA,4522,2953,248
Rockbridge,VA,4522,2953,248
Rockbridge,VA,4522,2953,248
Rockingham,VA,17482,5834,539
Rockingham,VA,17482,5834,539
Russell,VA,5065,5442,102
Salem city,VA,6188,4348,181
Scott,VA,5535,3552,85
Shenandoah,VA,9636,4420,294
Smyth,VA,6580,4836,131
Southampton,VA,3293,3359,44
Spotsylvania,VA,20739,13455,586
Stafford,VA,20731,12596,657
Staunton city,VA,4878,3324,278
Suffolk city,VA,11836,12471,199
Surry,VA,1313,1845,29
Sussex,VA,1745,2006,41
Tazewell,VA,8655,7227,162
Virginia Beach city,VA,83674,62268,2370
Warren,VA,6335,4313,260
Washington,VA,12064,7549,288
Waynesboro city,VA,4084,2737,233
Westmoreland,VA,2932,2922,88
Williamsburg city,VA,1777,1724,188
Winchester city,VA,4314,3318,209
Wise,VA,6504,6412,160
Wise,VA,6504,6412,160
Wythe,VA,6539,3462,132
York,VA,15312,8622,480
