Adams,WI,3645,2714,52
Ashland,WI,3517,4680,71
Ashland,WI,3517,4680,71
Ashland,WI,3517,4680,71
Ashland,WI,3517,4680,71
Barron,WI,9587,8061,124
Bayfield,WI,3474,4034,59
Brown,WI,51202,30218,583
Buffalo,WI,3325,2921,58
Burnett,WI,3528,3331,57
Calumet,WI,8970,4736,186
Chippewa,WI,10986,10202,163
Clark,WI,8099,5647,160
Columbia,WI,11662,8125,140
Crawford,WI,4412,3436,49
Dane,WI,74823,94659,1203
Dodge,WI,20458,11052,251
Door,WI,8264,3916,91
Door,WI,8264,3916,91
Douglas,WI,7066,14291,107
Dunn,WI,8473,7712,173
Eau Claire,WI,20401,19347,181
Florence,WI,1227,870,18
Fond du Lac,WI,26069,13983,294
Forest,WI,2296,2214,34
Grant,WI,13430,7892,138
Green,WI,7827,4367,102
Green Lake,WI,6198,2441,77
Iowa,WI,4983,3843,71
Iron,WI,1667,1967,19
Jackson,WI,4386,3427,46
Jefferson,WI,17780,10788,216
Juneau,WI,5629,3152,67
Kenosha,WI,26118,29233,344
Kewaunee,WI,5705,3444,61
La Crosse,WI,25721,17787,261
Lafayette,WI,4584,2961,41
Langlade,WI,5830,3675,67
Lincoln,WI,6682,5353,97
Manitowoc,WI,19639,17250,487
Marathon,WI,27080,20128,1462
Marinette,WI,11444,6798,111
Marquette,WI,3406,2032,74
Menominee,WI,392,832,7
Milwaukee,WI,196290,259144,2583
Monroe,WI,8227,5567,90
Oconto,WI,8714,5289,121
Oneida,WI,9787,6417,165
Outagamie,WI,36773,19790,416
Ozaukee,WI,23898,10765,233
Pepin,WI,1555,1629,18
Pierce,WI,7612,7289,102
Polk,WI,8106,8034,129
Portage,WI,13605,14399,175
Price,WI,4289,3479,84
Racine,WI,42092,36955,616
Richland,WI,4858,2844,51
Rock,WI,32491,26433,410
Rusk,WI,4061,3843,75
Sauk,WI,11069,7158,86
Sawyer,WI,3913,2982,75
Shawano,WI,10635,5469,121
Sheboygan,WI,26345,21112,396
St. Croix,WI,11367,10127,141
Taylor,WI,4918,3271,80
Trempealeau,WI,6008,5407,85
Vernon,WI,6469,5051,83
Vilas,WI,5965,2940,121
Walworth,WI,20595,9877,238
Washburn,WI,3848,3188,40
Washington,WI,25279,12966,328
Waukesha,WI,92426,47313,921
Waupaca,WI,13097,5895,175
Waushara,WI,5769,2782,86
Winnebago,WI,39014,22791,378
Wood,WI,20525,12118,239
