Barbour,WV,3311,3451,292
Berkeley,WV,9955,6783,625
Boone,WV,4164,7515,268
Braxton,WV,2403,3795,173
Brooke,WV,4622,6430,634
Cabell,WV,19482,17732,2146
Calhoun,WV,1606,1717,92
Clay,WV,1452,2185,102
Doddridge,WV,1888,1043,120
Fayette,WV,5784,13175,725
Gilmer,WV,1452,1854,153
Grant,WV,3452,1041,87
Greenbrier,WV,6221,7128,546
Hampshire,WV,2879,2522,157
Hancock,WV,6610,8784,917
Hardy,WV,2329,2050,99
Harrison,WV,14251,18813,1339
Jackson,WV,6041,4120,352
Jefferson,WV,4454,4679,572
Kanawha,WV,42604,42829,5838
Lewis,WV,3747,3455,359
Lincoln,WV,4009,5317,128
Logan,WV,4945,12024,381
Marion,WV,10952,14189,1171
Marshall,WV,7252,7832,725
Mason,WV,6040,5683,312
McDowell,WV,3862,9822,216
Mercer,WV,12273,11804,563
Mineral,WV,6125,4671,386
Mingo,WV,3716,9328,208
Monongalia,WV,11972,12883,2745
Monroe,WV,2999,2877,166
Morgan,WV,2833,1594,172
Nicholas,WV,3885,5265,322
Ohio,WV,11414,10973,1334
Pendleton,WV,1677,1724,80
Pleasants,WV,1852,1494,84
Pocahontas,WV,2011,2170,150
Preston,WV,5828,4317,515
Putnam,WV,7561,6409,632
Raleigh,WV,10713,16955,1046
Randolph,WV,4374,5937,518
Ritchie,WV,3081,1450,128
Roane,WV,3219,2498,184
Summers,WV,2456,3114,201
Taylor,WV,3010,3216,233
Tucker,WV,1798,1862,153
Tyler,WV,2707,1482,163
Upshur,WV,4751,2867,415
Wayne,WV,7541,8687,441
Webster,WV,1262,2578,117
Wetzel,WV,3588,4035,327
Wirt,WV,1176,1058,44
Wood,WV,20080,13622,1536
Wyoming,WV,4537,6624,299
